"","fapar_obs","LAI_obs","fapar_pre","LAI_pre","MAP"
"1",0.237316645429336,0.54182466879388,0.231633966166667,0.526978105642948,398.38
"2",0.209762966398344,0.470844671982174,0.258247147666667,0.597478348815943,380.18
"3",0.391258207751451,0.992722175270993,0.40254504975,1.03015279018021,555.22
"4",0.44775366341801,1.18752214065277,0.399942772833333,1.02146049940626,582.84
"5",0.43861065333245,1.15468118320287,0.4631538345,1.24408739143708,568.01
"6",0.444350783150978,1.17523617756726,0.477466968583333,1.29813415823803,568.96
"7",0.421745684872567,1.09548303101543,0.423353658,1.1010522517325,554.73
"8",0.416321144998543,1.07680870645398,0.39277115225,0.997699089119118,635.3
"9",0.426337004448952,1.11142634169449,0.407490544666667,1.04677689546338,709.95
"10",0.293727258227856,0.695507592601199,0.333579249666667,0.811668101318196,621.93
"11",0.252634207342535,0.582401062864362,0.253189931916667,0.583888771545403,418.94
"12",0.223648447822032,0.506299660458751,0.249938227666667,0.575199425464649,419.86
"13",0.253517279759769,0.584765619946212,0.277761362166667,0.650799342770485,368.46
"14",0.249270900799783,0.57342082479877,0.253911875583333,0.585823113020449,365.25
"15",0.250924460773787,0.577830894221494,0.265347881083333,0.616716398822138,382.19
"16",0.278690241870703,0.653373222066354,0.2506192625,0.577016193698703,371.17
"17",0.221233190375886,0.50008724744263,0.27244003925,0.636117726115879,384.15
"18",0.236570902022611,0.539870046210631,0.270073869583333,0.629623882339844,383.95
"19",0.23877728709135,0.545658611424542,0.238201046083333,0.544145196223525,367
"20",0.225886487469246,0.512073518258043,0.262062204166667,0.607791490845526,376.77
"21",0.229306966092975,0.520930249792142,0.283075309666667,0.665568956603239,400.52
"22",0.215170464385589,0.484577473728419,0.243023623666667,0.556846465977846,370.36
"23",0.209395559316454,0.469915022565756,0.232193408833333,0.528434823936959,350.54
"24",0.204475584243618,0.457507478670814,0.230147535583333,0.523112774293208,337.67
"25",0.189336003641746,0.419803237071168,0.213479304,0.480272485560853,316.03
"26",0.209735412506761,0.470774937434059,0.160406368916667,0.349674553440597,263.23
"27",0.171079709282142,0.375262559188151,0.14558255425,0.314670784539556,227.09
"28",0.15101606098574,0.327430020765982,0.126794559,0.271168846443552,200.2
"29",0.13548184335629,0.291165943199261,0.112618953166667,0.238961596705423,175.71
"30",0.133155795184555,0.285792025819582,0.0967991408333333,0.203620629799441,155.12
"31",0.115381766884753,0.245198204108388,0.0915918355833333,0.192122962204292,151.04
"32",0.107343558050455,0.227106991182902,0.0906151420833333,0.189973776720605,145.05
"33",0.105952821618548,0.223993465924536,0.09041881475,0.189542042802683,145.18
