"","X.1","X","gpp","ca","gammastar","kmm","ns_star","chi","xi","mj","mc","ci","iwue","gs","vcmax","vcmax25","jmax","jmax25","rd","gppobs","gppobs_FLUX_X","site","Precipitation","Tg","Tmean","BPE","gpp_gosif","gpp_PML_15"
"1",1,1,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"2",2,2,2.01767230104576,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.632388975858746,39.7998472813503,0.802156796840598,0.515344601041212,21.7329801689809,7.89593450644009,0.0132971568775028,0.325975216162515,1.3205257757856,1.0477110069176,2.87526502481964,0.00531286237533218,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"3",3,3,1.98461501352866,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.603201441872378,35.0305386497066,0.793898979377616,0.502539524470819,20.7299075008563,8.52285492401795,0.012117216691749,0.328804481774168,1.33198713229827,1.03767932313614,2.84773477141346,0.00535897477306269,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"4",4,4,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"5",5,5,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"6",6,6,1.92542811490348,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.556459810029725,28.7003384854529,0.779135944234566,0.480561443213838,19.1235623609482,9.52682063646054,0.0105169792786405,0.333587728736355,1.35136406831161,1.01940995066641,2.79759757962985,0.00543693386797945,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"7",7,7,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"8",8,8,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"9",9,9,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"10",10,10,1.98788963661572,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.60598665292167,35.4551520798089,0.794716612835374,0.503790574967159,20.8256253878079,8.4630312446732,0.012223005953849,0.328529151377615,1.33087176871392,1.03867846679272,2.85047675158888,0.00535448733833727,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"11",11,11,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"12",12,12,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"13",13,13,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"14",14,14,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"15",15,15,1.9269784121675,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.55760315939081,28.8392219668515,0.779522253705021,0.481122195910052,19.1628552486158,9.50226258166827,0.0105526496536125,0.333467210761478,1.35087584993064,1.01989365603903,2.79892502692307,0.00543496962228675,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"16",16,16,NA,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
"17",17,17,2.02827572338549,34.366475379285,1.65100025636824,17.2350809536905,1.49561360033153,0.642280868669555,41.5927855765955,0.804807314327848,0.519536071265423,22.0729296597181,7.68346607472935,0.0137366714950955,0.325044608834013,1.31675588499793,1.05090333219785,2.88402581970062,0.00529769499935799,96.0434028679427,0.878468766656975,1,398.38,9.33956858764731,5.80026913935941,0.298642989741627,0.926597312593594,0.993693218917355
