"","Site_ID","MAP_mm","vcmax_Constant","vcmax_Alienor","vcmax_Own","Obs_vcmax","vcmax25_Constant","vcmax25_Alienor","vcmax25_Own"
"1",1,398.38,29.4123184881512,29.2860347358797,NA,25.11706666,126.772561183399,126.228254731742,NA
"2",1,398.38,29.4123184881512,29.2825382936678,28.862606264899,25.11706666,126.772561183399,126.213184415731,124.403199295672
"3",1,398.38,29.4123184881512,29.285421294797,29.297717028831,25.11706666,126.772561183399,126.225610686621,126.278607586397
"4",1,398.38,29.4123184881512,29.2839884558453,NA,25.11706666,126.772561183399,126.219434884337,NA
"5",1,398.38,29.4123184881512,29.2825951922106,NA,25.11706666,126.772561183399,126.213429659029,NA
"6",1,398.38,29.4123184881512,29.2943918803527,30.0757501470778,25.11706666,126.772561183399,126.264275578226,129.632074982223
"7",1,398.38,29.4123184881512,29.2889054364704,NA,25.11706666,126.772561183399,126.240627985024,NA
"8",1,398.38,29.4123184881512,29.2842176790261,NA,25.11706666,126.772561183399,126.220422878865,NA
"9",1,398.38,29.4123184881512,29.2911167992515,NA,25.11706666,126.772561183399,126.250159369759,NA
"10",1,398.38,29.4123184881512,29.2867830714926,29.2546324746004,25.11706666,126.772561183399,126.231480197368,126.092905147147
"11",1,398.38,29.4123184881512,29.2987933081098,NA,25.11706666,126.772561183399,126.283246550197,NA
"12",1,398.38,29.4123184881512,29.2952782904819,NA,25.11706666,126.772561183399,126.268096170689,NA
"13",1,398.38,29.4123184881512,29.2895182945263,NA,25.11706666,126.772561183399,126.24326951719,NA
"14",1,398.38,29.4123184881512,29.2945099364784,NA,25.11706666,126.772561183399,126.264784422077,NA
"15",1,398.38,29.4123184881512,29.2826487237596,30.0553885110414,25.11706666,126.772561183399,126.213660389958,129.544312545159
"16",1,398.38,29.4123184881512,29.284964522217,NA,25.11706666,126.772561183399,126.223641911875,NA
"17",1,398.38,29.4123184881512,29.2842494358596,28.7229618459897,25.11706666,126.772561183399,126.220559756722,123.801305886717
"18",1,398.38,29.4123184881512,29.2845456935153,NA,25.11706666,126.772561183399,126.2218366823,NA
"19",1,398.38,29.4123184881512,29.2853190132014,NA,25.11706666,126.772561183399,126.225169833927,NA
"20",2,380.18,30.0096802766572,29.9997790850121,30.6040441194184,31.2326084458009,125.209686565231,125.168375725159,127.68955671952
"21",2,380.18,30.0096802766572,29.999956872641,NA,31.2326084458009,125.209686565231,125.169117510246,NA
"22",2,380.18,30.0096802766572,30.0038284465512,NA,31.2326084458009,125.209686565231,125.185270916458,NA
"23",2,380.18,30.0096802766572,29.9968843984645,29.4423471934431,31.2326084458009,125.209686565231,125.156298195776,122.842597117011
"24",2,380.18,30.0096802766572,29.9924213880783,29.8501269032305,31.2326084458009,125.209686565231,125.13767713329,124.543980443306
"25",2,380.18,30.0096802766572,29.9959783278186,NA,31.2326084458009,125.209686565231,125.152517788236,NA
"26",2,380.18,30.0096802766572,29.9983528529505,29.8624651894132,31.2326084458009,125.209686565231,125.162425042987,124.59545959708
"27",2,380.18,30.0096802766572,30.0062805473742,NA,31.2326084458009,125.209686565231,125.195501841035,NA
"28",2,380.18,30.0096802766572,29.9969862424553,30.1007291578321,31.2326084458009,125.209686565231,125.156723120468,125.589570714909
"29",2,380.18,30.0096802766572,29.9955834919555,30.8301706370391,31.2326084458009,125.209686565231,125.15087041065,128.63302663104
"30",2,380.18,30.0096802766572,29.9948829868537,NA,31.2326084458009,125.209686565231,125.147947686268,NA
